symptom_code,symptom_name,body_part,target,emergency_level,is_emergency_gate,follow_up_questions,suspected,hospital_guide,home_care,watch_for,source
URINE_BLOCK,"소변을 못 봐요 / 소변 자세만 반복해요",urinary,common,immediate,Y,"[{""id"":""q1"",""question"":""마지막으로 소변을 본 게 언제인가요?"",""choices"":[""6시간 이내"",""6~12시간"",""12시간 이상"",""모르겠어요""],""escalate_on"":[""12시간 이상""]}]","[{""name"":""요도폐색"",""why"":""소변이 나오지 않고 자세만 반복하는 것은 요도가 막혔을 때 나타나는 대표 증상입니다"",""confidence"":""높음""},{""name"":""방광결석"",""why"":""결석이 요도를 막으면 같은 증상이 나타납니다"",""confidence"":""보통""},{""name"":""급성 신부전"",""why"":""소변 생성 자체가 줄어든 경우입니다"",""confidence"":""낮음""}]","소변을 마지막으로 본 시각을 정확히 알려주세요. 수컷 고양이라면 반드시 먼저 말씀하세요.","집에서 지켜보면 안 되는 증상입니다. 물을 억지로 먹이지 마세요.","[""배를 만졌을 때 심하게 아파함"",""토하기 시작함"",""축 늘어짐""]","응급 필수 항목 (지시서 2-A ③-1)"
BREATH_HARD,"숨쉬기 힘들어해요 / 입을 벌리고 숨쉬어요",respiratory,common,immediate,Y,"[{""id"":""q1"",""question"":""혀나 잇몸 색이 어떤가요?"",""choices"":[""분홍색"",""창백함"",""푸르스름함"",""확인 못했어요""],""escalate_on"":[""창백함"",""푸르스름함""]}]","[{""name"":""폐수종"",""why"":""폐에 물이 차면 가만히 있어도 숨이 가빠집니다"",""confidence"":""보통""},{""name"":""흉수 또는 기흉"",""why"":""가슴에 물이나 공기가 차면 호흡이 얕고 빨라집니다"",""confidence"":""보통""},{""name"":""심장질환"",""why"":""심부전이 진행되면 호흡 곤란이 먼저 나타나는 경우가 많습니다"",""confidence"":""보통""}]","이동 중 흥분시키지 말고 상자에 담아 조용히 옮기세요. 잇몸 색을 봤다면 그대로 전하세요.","집에서 지켜보면 안 되는 증상입니다. 억지로 안거나 보정하지 마세요.","[""잇몸이 푸르게 변함"",""주저앉거나 쓰러짐"",""숨소리에 그르렁 소리가 섞임""]","응급 필수 항목 (지시서 2-A ③-2)"
SEIZURE,"경련하거나 발작해요",behavior,common,immediate,Y,"[{""id"":""q1"",""question"":""경련이 얼마나 이어졌나요?"",""choices"":[""1분 미만"",""1~5분"",""5분 이상"",""반복해서 일어남""],""escalate_on"":[""5분 이상"",""반복해서 일어남""]}]","[{""name"":""뇌전증"",""why"":""반복되는 전신 경련의 흔한 원인입니다"",""confidence"":""보통""},{""name"":""중독"",""why"":""독성 물질 섭취 후 경련이 나타나기도 합니다"",""confidence"":""보통""},{""name"":""저혈당"",""why"":""특히 어린 개체에서 경련의 원인이 됩니다"",""confidence"":""낮음""}]","경련이 몇 분간 이어졌는지, 오늘 몇 번이었는지 알려주세요. 가능하면 영상을 찍어 가세요.","주변 물건을 치워 다치지 않게만 하고 입에 손을 넣지 마세요.","[""경련이 5분 넘게 이어짐"",""연달아 다시 경련함"",""경련 후에도 의식이 돌아오지 않음""]","응급 필수 항목 (지시서 2-A ③-3)"
COLLAPSE,"의식이 흐리거나 쓰러졌어요 / 반응이 없어요",whole,common,immediate,Y,"[{""id"":""q1"",""question"":""부르면 반응이 있나요?"",""choices"":[""느리지만 반응함"",""거의 반응 없음"",""전혀 반응 없음""],""escalate_on"":[""거의 반응 없음"",""전혀 반응 없음""]}]","[{""name"":""쇼크"",""why"":""혈압이 떨어지면 의식이 흐려지고 몸이 차가워집니다"",""confidence"":""보통""},{""name"":""내출혈"",""why"":""외상이나 종양 파열로 배 안에 출혈이 있을 수 있습니다"",""confidence"":""보통""},{""name"":""중증 저혈당 또는 저체온"",""why"":""대사 이상으로 의식 저하가 올 수 있습니다"",""confidence"":""낮음""}]","쓰러진 시각과 그 전에 무엇을 했는지 알려주세요.","집에서 지켜보면 안 되는 증상입니다. 담요로 감싸 체온만 유지하며 옮기세요.","[""호흡이 느려지거나 멈춤"",""잇몸이 하얗게 변함"",""몸이 차가워짐""]","응급 필수 항목 (지시서 2-A ③-4)"
TOXIN,"먹으면 안 되는 걸 먹었어요",digestive,common,immediate,Y,"[{""id"":""q1"",""question"":""무엇을 먹었나요?"",""choices"":[""초콜릿"",""양파 또는 마늘"",""백합 등 식물"",""사람 약"",""잘 모르겠어요""]},{""id"":""q2"",""question"":""먹은 지 얼마나 됐나요?"",""choices"":[""1시간 이내"",""1~6시간"",""6시간 이상""]}]","[{""name"":""중독"",""why"":""섭취한 물질과 양에 따라 처치가 완전히 달라집니다"",""confidence"":""높음""}]","먹은 물질의 포장지나 남은 것을 그대로 가져가세요. 먹은 시각과 양이 가장 중요합니다.","집에서 억지로 토하게 하지 마세요. 물질에 따라 더 위험해집니다.","[""침을 심하게 흘림"",""경련"",""토하거나 설사를 시작함""]","응급 필수 항목 (지시서 2-A ③-5)"
BLOAT,"배가 부풀고 헛구역질을 해요",digestive,dog,immediate,Y,"[{""id"":""q1"",""question"":""토하려 하는데 아무것도 안 나오나요?"",""choices"":[""네 헛구역질만 해요"",""토가 나와요""],""escalate_on"":[""네 헛구역질만 해요""]}]","[{""name"":""위확장 위염전"",""why"":""배가 부풀고 헛구역질이 반복되는 것은 위염전의 전형적인 신호입니다"",""confidence"":""높음""}]","배가 언제부터 부풀었는지, 식사 직후였는지 알려주세요.","집에서 지켜보면 안 되는 증상입니다. 물이나 음식을 주지 마세요.","[""배가 계속 커짐"",""안절부절 못하고 눕지 못함"",""잇몸이 창백해짐""]","응급 필수 항목 (지시서 2-A ③-6)"
BLEEDING,"피가 멈추지 않아요",whole,common,immediate,Y,"[{""id"":""q1"",""question"":""출혈 부위가 어디인가요?"",""choices"":[""상처"",""코"",""입"",""항문 또는 생식기"",""여러 곳""],""escalate_on"":[""여러 곳""]}]","[{""name"":""외상성 출혈"",""why"":""상처가 깊으면 압박만으로 멈추지 않습니다"",""confidence"":""보통""},{""name"":""응고 장애"",""why"":""여러 곳에서 출혈이 있으면 피가 굳지 않는 상태일 수 있습니다"",""confidence"":""보통""}]","출혈이 시작된 시각과 대략적인 양을 알려주세요.","깨끗한 천으로 눌러 압박하면서 바로 이동하세요. 지혈제를 임의로 쓰지 마세요.","[""누르고 있어도 계속 배어나옴"",""잇몸이 창백해짐"",""기운이 급격히 떨어짐""]","응급 필수 항목 (지시서 2-A ③-7)"
HYPOTHERMIA,"몸이 차갑고 체온이 떨어졌어요",whole,common,immediate,Y,"[{""id"":""q1"",""question"":""귀와 발끝이 차가운가요?"",""choices"":[""평소와 비슷"",""차가움"",""매우 차가움""],""escalate_on"":[""차가움"",""매우 차가움""]}]","[{""name"":""쇼크"",""why"":""체온 급강하는 순환이 무너졌다는 신호입니다"",""confidence"":""보통""},{""name"":""저체온증"",""why"":""추위 노출이나 마취 후에 나타날 수 있습니다"",""confidence"":""보통""}]","체온계로 잰 값이 있으면 그대로 전하세요.","담요로 감싸 체온을 유지하며 바로 이동하세요. 뜨거운 물주머니를 직접 대지 마세요.","[""의식이 흐려짐"",""호흡이 느려짐"",""떨림이 멈추고 축 늘어짐""]","응급 필수 항목 (지시서 2-A ③-8)"
CAT_ANOREXIA,"24시간 넘게 아무것도 못 먹었어요",digestive,cat,immediate,Y,"[{""id"":""q1"",""question"":""마지막으로 먹은 게 언제인가요?"",""choices"":[""12~24시간"",""24~48시간"",""48시간 이상""],""escalate_on"":[""24~48시간"",""48시간 이상""]}]","[{""name"":""지방간"",""why"":""고양이는 굶는 기간이 길어지면 간에 지방이 쌓여 빠르게 위험해집니다"",""confidence"":""높음""},{""name"":""기저 질환에 의한 식욕부진"",""why"":""통증이나 감염, 신장질환이 원인일 수 있습니다"",""confidence"":""보통""}]","마지막 식사 시각과 체중 변화를 알려주세요.","집에서 지켜보면 안 되는 증상입니다. 억지로 먹이려다 흡인될 수 있으니 주의하세요.","[""잇몸이나 눈 흰자가 노래짐"",""침을 흘림"",""구토가 시작됨""]","응급 필수 항목 (지시서 2-A ③-9)"
EYE_TRAUMA,"눈을 다쳤어요 / 갑자기 앞을 못 봐요",eye,common,immediate,Y,"[{""id"":""q1"",""question"":""언제부터 그런가요?"",""choices"":[""방금"",""몇 시간 전"",""하루 이상""],""escalate_on"":[""방금"",""몇 시간 전""]}]","[{""name"":""각막 손상 또는 안구 외상"",""why"":""외상 후 시간이 지날수록 회복이 어려워집니다"",""confidence"":""높음""},{""name"":""급성 녹내장"",""why"":""갑작스러운 실명의 흔한 원인이며 시간을 다툽니다"",""confidence"":""보통""},{""name"":""망막박리"",""why"":""고혈압이 원인인 경우 갑자기 앞을 못 보게 됩니다"",""confidence"":""보통""}]","언제부터인지, 부딪힌 일이 있었는지 알려주세요. 안약을 넣었다면 그것도 말하세요.","안약을 임의로 넣지 말고 앞발로 비비지 못하게만 해주세요.","[""눈이 튀어나와 보임"",""눈을 아예 못 뜸"",""눈에서 피가 비침""]","응급 필수 항목 (지시서 2-A ③-10)"
